Name,Symbol,Price,24h Change,Market Cap,Logo URL
Bitcoin,BTC,"$110,200.50",9.50%,"$2,200,977,209,647",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
Ethereum,ETH,"$3,993.80",8.17%,"$482,638,199,867",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
Tether,USDT,$1.00,0.03%,"$181,416,030,271",https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
BNB,BNB,"$1,172.31",6.13%,"$163,164,723,676",https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
XRP,XRP,$2.40,14.55%,"$144,057,590,325",https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
Solana,SOL,$193.13,12.89%,"$105,610,531,952",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
USDC,USDC,$0.9999,0.02%,"$76,058,516,470",https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
TRON,TRX,$0.3210,4.74%,"$30,389,792,858",https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png
Dogecoin,DOGE,$0.1948,20.79%,"$29,494,895,292",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
Cardano,ADA,$0.6671,17.37%,"$23,908,418,930",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
